"Organisation Code","Name","National Grouping","Higher Level Health Geography","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Open Date","Close Date","Column 13","Column 14","Column 15","Column 16","Column 17","Contact Telephone Number","Column 19","Column 20","Column 21","Amended Record Indicator","Column 23","GOR Code","Column 25","Column 26","Column 27"
"RHM","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","Y59","QRL","SOUTHAMPTON GENERAL HOSPITAL","TREMONA ROAD","","SOUTHAMPTON","","SO16 6YD","19930401","","","","","","","","","","","1","","J","","",""
"RHQ","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","Y63","QF7","NORTHERN GENERAL HOSPITAL","HERRIES ROAD","","SHEFFIELD","","S5 7AU","20010401","","","","","","","","","","","1","","D","","",""
"RHU","PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST","Y59","QRL","QUEEN ALEXANDRA HOSPITAL","SOUTHWICK HILL ROAD","COSHAM","PORTSMOUTH","","PO6 3LY","19930401","","","","","","","","","","","1","","J","","",""
"RHW","ROYAL BERKSHIRE NHS FOUNDATION TRUST","Y59","QU9","ROYAL BERKSHIRE HOSPITAL","LONDON ROAD","","READING","","RG1 5AN","19930401","","","","","","","","","","","1","","J","","",""
"RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","Y56","QKK","ST THOMAS' HOSPITAL","WESTMINSTER BRIDGE ROAD","","LONDON","","SE1 7EH","19930401","","","","","","","","","","","1","","H","","",""
"RJ2","LEWISHAM AND GREENWICH NHS TRUST","Y56","QKK","UNIVERSITY HOSPITAL LEWISHAM","LEWISHAM HIGH STREET","","LONDON","","SE13 6LH","19930401","","","","","","","","","","","1","","H","","",""
"RJ6","CROYDON HEALTH SERVICES NHS TRUST","Y56","QWE","CROYDON UNIVERSITY HOSPITAL","530 LONDON ROAD","","THORNTON HEATH","","CR7 7YE","19930401","","","","","","","","","","","1","","H","","",""
"RJ7","ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y56","QWE","ST GEORGE'S HOSPITAL","BLACKSHAW ROAD","TOOTING","LONDON","","SW17 0QT","19930401","","","","","","","","","","","1","","H","","",""
"RJ8","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST","Y58","QT6","CAREW HOUSE","BEACON TECHNOLOGY PARK","DUNMERE ROAD","BODMIN","CORNWALL","PL31 2QN","19930401","","","","","","","01208 834600","","","","1","","K","","",""
"RJC","SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST","Y60","QWU","WARWICK HOSPITAL","LAKIN ROAD","","WARWICK","","CV34 5BW","19930401","","","","","","","01926 495321","","","","1","","F","","",""
"RJE","UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST","Y60","QNC","NEWCASTLE ROAD","","","STOKE-ON-TRENT","","ST4 6QG","19930401","","","","","","","01782 715444","","","","1","","F","","",""
"RJL","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","Y63","QOQ","DIANA PRINCESS OF WALES HOSPITAL","SCARTHO ROAD","","GRIMSBY","","DN33 2BA","20010401","","","","","","","01472 874111","","","","1","","D","","",""
"RJN","EAST CHESHIRE NHS TRUST","Y62","QYG","MACCLESFIELD DISTRICT HOSPITAL","VICTORIA ROAD","","MACCLESFIELD","","SK10 3BL","19930401","","","","","","","01625 661449","","","","1","","B","","",""
"RJR","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","Y62","QYG","COUNTESS OF CHESTER HEALTH PARK","LIVERPOOL ROAD","","CHESTER","","CH2 1UL","19930401","","","","","","","01244 365000","","","","1","","B","","",""
"RJZ","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","Y56","QKK","DENMARK HILL","","","LONDON","","SE5 9RS","19930401","","","","","","","","","","","1","","H","","",""
"RK5","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","Y60","QT1","KINGS MILL HOSPITAL","MANSFIELD ROAD","","SUTTON-IN-ASHFIELD","","NG17 4JL","19940401","","","","","","","01623 622515","","","","1","","E","","",""
"RK9","UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST","Y58","QJK","DERRIFORD HOSPITAL","DERRIFORD ROAD","DERRIFORD","PLYMOUTH","","PL6 8DH","19940401","","","","","","","01752 202082","","","","1","","K","","",""
"RKB","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","Y60","QWU","WALSGRAVE GENERAL HOSPITAL","CLIFFORD BRIDGE ROAD","","COVENTRY","","CV2 2DX","19930401","","","","","","","","","","","1","","F","","",""
"RKE","WHITTINGTON HEALTH NHS TRUST","Y56","QMJ","THE WHITTINGTON HOSPITAL","MAGDALA AVENUE","","LONDON","","N19 5NF","19930401","","","","","","","","","","","1","","H","","",""
"RKL","WEST LONDON NHS TRUST","Y56","QRV","1 ARMSTRONG WAY","","","SOUTHALL","","UB2 4SD","20010401","","","","","","","","","","","1","","H","","",""
"RL1","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","Y60","QOC","GOBOWEN","","","OSWESTRY","","SY10 7AG","19940401","","","","","","","01691 404000","","","","1","","F","","",""
"RL4","THE ROYAL WOLVERHAMPTON NHS TRUST","Y60","QUA","NEW CROSS HOSPITAL","WOLVERHAMPTON ROAD","HEATH TOWN","WOLVERHAMPTON","","WV10 0QP","19940401","","","","","","","01902 307999","","","","1","","F","","",""
"RLQ","WYE VALLEY NHS TRUST","Y60","QGH","COUNTY HOSPITAL","27 UNION WALK","","HEREFORD","","HR1 2ER","19940401","","","","","","","01432 355444","","","","1","","F","","",""
"RLT","GEORGE ELIOT HOSPITAL NHS TRUST","Y60","QWU","LEWES HOUSE","COLLEGE STREET","","NUNEATON","","CV10 7DJ","19940401","","","","","","","","","","","1","","F","","",""
"RLY","NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST","Y60","QNC","LAWTON HOUSE","BELLRINGER ROAD","TRENTHAM","STOKE-ON-TRENT","","ST4 8HH","19940401","","","","","","","","","","","1","","F","","",""
"RM1","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y61","QMM","COLNEY LANE","COLNEY","","NORWICH","","NR4 7UY","19940401","","","","","","","01603 286286","","","","1","","G","","",""
"RM3","NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST","Y62","QOP","SALFORD ROYAL","STOTT LANE","","SALFORD","GREATER MANCHESTER","M6 8HD","19940401","","","","","","","","","","","1","","B","","",""
"RMC","BOLTON NHS FOUNDATION TRUST","Y62","QOP","THE ROYAL BOLTON HOSPITAL","MINERVA ROAD","FARNWORTH","BOLTON","","BL4 0JR","19940401","","","","","","","01204 390390","","","","1","","B","","",""
"RMP","TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST","Y62","QOP","TAMESIDE GENERAL HOSPITAL","FOUNTAIN STREET","","ASHTON-UNDER-LYNE","","OL6 9RW","19940401","","","","","","","","","","","1","","B","","",""
"RMY","NORFOLK AND SUFFOLK NHS FOUNDATION TRUST","Y61","QMM","HELLESDON HOSPITAL","DRAYTON HIGH ROAD","","NORWICH","NORFOLK","NR6 5BE","19940401","","","","","","","01603 421421","","","","1","","G","","",""
"RN3","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","Y58","QOX","GREAT WESTERN HOSPITAL","MARLBOROUGH ROAD","","SWINDON","","SN3 6BB","19940401","","","","","","","01793 604020","","","","1","","K","","",""
"RN5","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","Y59","QRL","BASINGSTOKE AND NORTH HAMPSHIRE HOS","ALDERMASTON ROAD","","BASINGSTOKE","HAMPSHIRE","RG24 9NA","19940401","","","","","","","01256 473202","","","","1","","J","","",""
"RN7","DARTFORD AND GRAVESHAM NHS TRUST","Y59","QKS","DARENT VALLEY HOSPITAL","DARENTH WOOD ROAD","","DARTFORD","","DA2 8DA","19940401","","","","","","","01322 428100","","","","1","","J","","",""
"RNA","THE DUDLEY GROUP NHS FOUNDATION TRUST","Y60","QUA","RUSSELLS HALL HOSPITAL","PENSNETT ROAD","","DUDLEY","","DY1 2HQ","19940401","","","","","","","01384 456111","","","","1","","F","","",""
"RNK","TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST","Y56","QMJ","THE TAVISTOCK CENTRE","120 BELSIZE LANE","","LONDON","","NW3 5BA","19940401","","","","","","","","","","","1","","H","","",""
"RNN","NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST","Y63","QHM","PILLARS BUILDING","CUMBERLAND INFIRMARY","INFIRMARY STREET","CARLISLE","","CA2 7HY","20010401","","","","","","","01228 602000","","","","1","","B","","",""
"RNQ","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","Y60","QPM","ROTHWELL ROAD","","","KETTERING","","NN16 8UZ","19940401","","","","","","","01536 492000","","","","1","","E","","",""
"RNS","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","Y60","QPM","CLIFTONVILLE","","","NORTHAMPTON","","NN1 5BD","19940401","","","","","","","01604 634700","","","","1","","E","","",""
"RNU","OXFORD HEALTH NHS FOUNDATION TRUST","Y59","QU9","WARNEFORD HOSPITAL","WARNEFORD LANE","HEADINGTON","OXFORD","","OX3 7JX","19940401","","","","","","","01865 901000","","","","1","","J","","",""
"RNZ","SALISBURY NHS FOUNDATION TRUST","Y58","QOX","SALISBURY DISTRICT HOSPITAL","ODSTOCK ROAD","","SALISBURY","","SP2 8BJ","19940401","","","","","","","01722 336262","","","","1","","K","","",""
"RP1","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST","Y60","QPM","ST MARYS HOSPITAL","77 LONDON ROAD","","KETTERING","","NN15 7PW","20010401","","","","","","","01536 410141","","","","1","","E","","",""
"RP4","GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST","Y56","QMJ","GREAT ORMOND STREET","","","LONDON","","WC1N 3JH","19940401","","","","","","","","","","","1","","H","","",""
"RP5","DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST","Y63","QF7","DONCASTER ROYAL INFIRMARY","ARMTHORPE ROAD","","DONCASTER","","DN2 5LT","20010401","","","","","","","01302 366666","","","","1","","D","","",""
"RP6","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","Y56","QMJ","162 CITY ROAD","","","LONDON","","EC1V 2PD","19940401","","","","","","","","","","","1","","H","","",""
"RP7","LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST","Y60","QJM","ST GEORGE'S","LONG LEYS ROAD","","LINCOLN","","LN1 1FS","20010401","","","","","","","01522 309200","","","","1","","E","","",""
"RPA","MEDWAY NHS FOUNDATION TRUST","Y59","QKS","MEDWAY MARITIME HOSPITAL","WINDMILL ROAD","","GILLINGHAM","","ME7 5NY","19940401","","","","","","","01634 830000","","","","1","","J","","",""
"RPC","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","Y59","QNX","HOLTYE ROAD","","","EAST GRINSTEAD","","RH19 3DZ","19940401","","","","","","","01342 414000","","","","1","","J","","",""
"RPG","OXLEAS NHS FOUNDATION TRUST","Y56","QKK","PINEWOOD HOUSE","PINEWOOD PLACE","","DARTFORD","","DA2 7WG","19940401","","","","","","","01322 625700","","","","1","","J","","",""
"RPY","THE ROYAL MARSDEN NHS FOUNDATION TRUST","Y56","QRV","FULHAM ROAD","","","LONDON","GREATER LONDON","SW3 6JJ","19940401","","","","","","","","","","","1","","H","","",""
"RQ3","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST","Y60","QHL","STEELHOUSE LANE","","","BIRMINGHAM","WEST MIDLANDS","B4 6NH","19950401","","","","","","","","","","","1","","F","","",""
"RQF","VELINDRE NHS TRUST","W00","Q99","UNIT 2","CHARNWOOD COURT","HEOL BILLINGSLEY","CARDIFF","","CF15 7QZ","19940401","","","","","","","","","","","1","","W","","",""
"RQM","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","Y56","QRV","CHELSEA & WESTMINSTER HOSPITAL","369 FULHAM ROAD","","LONDON","","SW10 9NH","19940401","","","","","","","","","","","1","","H","","",""
"RQW","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","Y61","QM7","HAMSTEL ROAD","","","HARLOW","","CM20 1QX","19950401","","","","","","","01279 444455","","","","1","","G","","",""
"RQX","HOMERTON HEALTHCARE NHS FOUNDATION TRUST","Y56","QMF","HOMERTON ROW","","","LONDON","","E9 6SR","19950401","","","","","","","","","","","1","","H","","",""
"RQY","SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST","Y56","QWE","SPRINGFIELD HOSPITAL","61 GLENBURNIE ROAD","","LONDON","","SW17 7DJ","19950401","","","","","","","","","","","1","","H","","",""
