Location Name,Population,Latitude,Longitude
Swimbridge,687,51.0392,-3.9522
Tavistock,"12,675",50.5464,-4.1446
Tedburn St Mary,721,50.7273,-3.6547
Teignmouth,"15,312",50.5479,-3.4969
Thorverton,695,50.8047,-3.4861
Thurlestone,567,50.2603,-3.8577
Tipton St John,643,50.7167,-3.2833
Tiverton,"19,708",50.9028,-3.4885
Topsham,"4,193",50.6856,-3.4644
Totnes,"9,214",50.4357,-3.6887
Uffculme,"2,039",50.8972,-3.3547
Uplyme,"1,052",50.73,-2.947
Wembury,"1,828",50.3172,-4.0717
Westacott,689,51.0742,-4.0479
West Charleton,533,50.267,-3.7197
West Clyst,"2,685",50.7472,-3.4589
West Hill,"2,109",50.7167,-3.2833
Westward Ho!,"3,472",51.0383,-4.2386
Whimple,"1,120",50.76,-3.35
Willand,"3,476",50.8875,-3.3547
Winkleigh,"1,339",50.8572,-3.9922
Witheridge,"1,306",50.9044,-3.7067
Woodbury,"1,748",50.6816,-3.4
Woodbury Salterton,641,50.7,-3.3833
Woolacombe,697,51.1714,-4.2075
Yealmpton,"2,010",50.3536,-3.8817
Yelverton,"1,858",50.4942,-4.0903
